Central,Abura Asebu Kwamankese,ABAKRAMPA EAST,COMM.NUR. OKWAADUBRONMU
Central,Abura Asebu Kwamankese,ABAKRAMPA WEST,COMM.CENTER ABAKRAMPA
Central,Abura Asebu Kwamankese,ABANANYIM,CPB NR EFUA KAEDABIS HS MOREE (A)
Central,Abura Asebu Kwamankese,ABOASE/OBOHEN,CATH. CHAPEL ABOASE
Central,Abura Asebu Kwamankese,AKROFUL ASEBU,CATH .PRI. SCH. AKROFUL
Central,Abura Asebu Kwamankese,AMOSIMA,D/A J H S AMOSIMA
Central,Abura Asebu Kwamankese,APEWOSIKA,METH. PRI. SCH. APEWOSIKA
Central,Abura Asebu Kwamankese,ASEBU AMANTSINDO,D/A PRI.SCH.ASEBU
Central,Abura Asebu Kwamankese,ASUANTSI,CATH.CHAPEL ASUANTSI
Central,Abura Asebu Kwamankese,AYELDU,CATH.J H S AYELDU
Central,Abura Asebu Kwamankese,BATANYA,D/A PRI.SCH. BATANYA
Central,Abura Asebu Kwamankese,BENTSIR,METH.CHURCH MOREE (A)
Central,Abura Asebu Kwamankese,COUNCIL DANHO MOREE,ZION J H S BRAFOYAW (B)
Central,Abura Asebu Kwamankese,EDUMFA,A M E ZION SCH.EDUMFA (A)
Central,Abura Asebu Kwamankese,GYABANKROM,D/C J H S GYANBANKROM
Central,Abura Asebu Kwamankese,KORADO,METH. PRI. SCH. KURADO
Central,Abura Asebu Kwamankese,KOTUKOTUE,APOSTOLIC CHURCH KOTUKOTUE
Central,Abura Asebu Kwamankese,KWADOEGYA,D/A PRI. SCH. KWADOEGYA
Central,Abura Asebu Kwamankese,KWAMAN,METH. J H S KWAMAN
Central,Abura Asebu Kwamankese,MPESIDUAZE,METH. PRI. SCH. MPESIDUAZE
Central,Abura Asebu Kwamankese,NEW EBU,METH.PRIM.SCH.NEW EBU
Central,Abura Asebu Kwamankese,NYAMEDOM,SCM COCOA SHED NYAMEDOM
Central,Abura Asebu Kwamankese,NYANFUEKU EKROFUL,CATH.PRI.SCH.NYANFUEKU EKROFUL
Central,Abura Asebu Kwamankese,OBRONKYEW,CATH. PRI. SCH. ABURADUNKWA
Central,Abura Asebu Kwamankese,ODONASE,CATH. CHAPEL NEW ODONASE
Central,Abura Asebu Kwamankese,OLD COURT HOUSE MOREE,D/A J H S MOREE
Central,Abura Asebu Kwamankese,OLD EBU,D/A PRI. OLD EBU
Central,Abura Asebu Kwamankese,OMANDO MOREE,CPB EGUADADAWMU
Central,Abura Asebu Kwamankese,PAPAGYA,D/C PRI.SCH.PAPAGYA
Central,Abura Asebu Kwamankese,TUAKWA,D/C PRI.SCH.ABURA TUAKWA
Central,Agona East,AHOROSO/ODUMASE,MASTER AMUSA SCH. AGONA KWANYAKU
Central,Agona East,AMANFUL NO.1/ MANSOFO,"SCMB COCOA SHED, AMANFUL NO.1"
Central,Agona East,ASAFO,THE PALACE AGONA ASAFO
Central,Agona East,BONTRASE,D/C JSS AKRABONG
Central,Agona East,BROFOYEDUR/ADWENPAYE,PRESBY PRIMARY SCH. AGONA NSABA
Central,Agona East,DUABONE,"SCMB COCOA SHED, DUABONE"
Central,Agona East,DUATU,ADC PRIM SCH. DUATU
Central,Agona East,FANTE BAWJIASE,"SCMB COCOA SHED, FANTE BAWJIASE"
Central,Agona East,FAWOMANYE,D/C PRIM SCH. FAWOMANYE
Central,Agona East,KOTOKOLI/ KWANSAKROM,ADC PRIM SCH. KWANSAKROM (A)
Central,Agona East,MANKRONG JUNCTION,SCMB COCOA SHED MANKRONG JUNCTION
Central,Agona East,MANKRONG/ AKWAKWAA,SCMB COCOA SHED MANKRONG
Central,Agona East,NAMANWORA,SCMB COCOA SHED NAMANWORA
Central,Agona East,NINTA/ OFOASE,"SCMB COCOA SHED, NINTA"
Central,Agona East,NKUBEASE,ADC ‘B’ JSS AGONA DUAKWA
Central,Agona East,OFOASE/ ZONGO,METH. PRIM. SCH. AGONA KWANYAKU
Central,Agona East,SALEM,POST OFFICE AGONA NSABA
Central,Agona East,SETH OKAI,ADA PRIMARY SCH. SETH OKAI
Central,Agona East,TAWORA,"ADC PRIMARY, NANTIFA"
Central,Agona East,ZONGO/ ANKOBEA,SCMB COCOA SHED NO.1 JUNCTION DUAKWA
Central,Agona West,ABODOM ANAAFO/ADANSI,ANGLICAN PRIM ABODOM
